codice,file,w,h,keep,elementi,item,item_w,item_h,dcol,dedge,ink,item_rot
PB1035IT,PB1035IT__solo.webp,1214,724,0.862,7,PB1035IT__item.webp,900,658,2.99,0.0002,,
PB1036IT,PB1036IT__solo.webp,989,724,0.85,4,PB1036IT__item.webp,900,658,2.64,0,,
PB1037IT,PB1037IT__solo.webp,1217,728,0.865,3,PB1037IT__item.webp,900,660,2.14,0.0005,,
PB1038IT,PB1038IT__solo.webp,989,724,0.882,2,PB1038IT__item.webp,900,658,,,,
PB1039IT,PB1039IT__solo.webp,1025,725,0.848,6,PB1039IT__item.webp,900,636,2.99,0.0002,,
PB1040IT,PB1040IT__solo.webp,1025,724,0.847,6,PB1040IT__item.webp,900,635,2.64,0,,
PB1041IT,PB1041IT__solo.webp,1025,724,0.852,5,PB1041IT__item.webp,900,635,2.14,0.0005,,
PB1050IT-1R,PB1050IT-1R__solo.webp,1568,983,0.995,2,PB1050IT-1R__item.webp,900,564,40.34,0.1458,,
PB1050IT-4M,PB1050IT-4M__solo.webp,1568,983,0.995,2,PB1050IT-4M__item.webp,900,564,40.34,0.1458,,
PB1050IT-5M,PB1050IT-5M__solo.webp,1568,983,0.995,2,PB1050IT-5M__item.webp,900,564,40.34,0.1458,,
PB1051IT-1R,PB1051IT-1R__solo.webp,1568,983,0.995,2,PB1051IT-1R__item.webp,614,900,40.34,0.1458,,
PB1051IT-4M,PB1051IT-4M__solo.webp,1568,983,0.995,2,PB1051IT-4M__item.webp,900,698,40.34,0.1458,,
PB1051IT-5M,PB1051IT-5M__solo.webp,1568,983,0.995,2,PB1051IT-5M__item.webp,616,900,40.34,0.1458,,
PB1052IT-1R,PB1052IT-1R__solo.webp,1568,983,0.995,3,PB1052IT-1R__item.webp,900,393,40.34,0.1458,,
PB1052IT-4M,PB1052IT-4M__solo.webp,1568,983,0.995,3,PB1052IT-4M__item.webp,900,583,40.34,0.1458,,
PB1052IT-5M,PB1052IT-5M__solo.webp,1568,983,0.995,3,PB1052IT-5M__item.webp,900,588,40.34,0.1458,,
